,uniprot_id,gene_name,locations,go_locations,type,transmembrane_num
46,Q00987,MDM2,"cytoplasm, nucleus","c:cytoplasm, c:cytosol, c:endocytic vesicle membrane, c:nucleolus, c:nucleoplasm, c:nucleus, c:plasma membrane, c:protein-containing complex, c:transcription repressor complex, f:5s rrna binding, f:disordered domain specific binding, f:enzyme binding, f:identical protein binding, f:ligase activity, f:nedd8 ligase activity, f:p53 binding, f:protein domain specific binding, f:protein n-terminus binding, f:ribonucleoprotein complex binding, f:sumo transferase activity, f:ubiquitin binding, f:ubiquitin protein ligase activity, f:ubiquitin protein ligase binding, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:amyloid fibril formation, p:apoptotic process, p:atrial septum development, p:atrioventricular valve morphogenesis, p:blood vessel development, p:blood vessel remodeling, p:cardiac septum morphogenesis, p:cellular response to actinomycin d, p:cellular response to gamma radiation, p:cellular response to hypoxia, p:dna damage response, signal transduction by p53 class mediator resulting in cell cycle arrest, p:endocardial cushion morphogenesis, p:establishment of protein localization, p:negative regulation of dna damage response, signal transduction by p53 class mediator, p:negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator, p:negative regulation of signal transduction by p53 class mediator, p:negative regulation of transcription by rna polymerase ii, p:negative regulation of transcription, dna-templated, p:positive regulation of cell population proliferation, p:positive regulation of mitotic cell cycle, p:positive regulation of muscle cell differentiation, p:positive regulation of proteasomal ubiquitin-dependent protein catabolic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein autoubiquitination, p:protein destabilization, p:protein localization to nucleus, p:protein polyubiquitination, p:protein ubiquitination, p:protein-containing complex assembly, p:proteolysis involved in cellular protein catabolic process, p:regulation of cell cycle, p:regulation of heart rate, p:regulation of protein catabolic process, p:regulation of transcription by rna polymerase ii, p:response to antibiotic, p:transcription factor catabolic process, p:traversing start control point of mitotic cell cycle, p:ubiquitin-dependent protein catabolic process, p:ventricular septum development",RING,
47,P51948,MNAT1,,"c:cak-ercc2 complex, c:cyclin-dependent protein kinase activating kinase holoenzyme complex, c:nucleoplasm, c:transcription factor tfiih core complex, c:transcription factor tfiih holo complex, c:transcription factor tfiik complex, f:cyclin-dependent protein serine/threonine kinase activator activity, f:protein n-terminus binding, f:zinc ion binding, p:adult heart development, p:dna repair, p:g1/s transition of mitotic cell cycle, p:negative regulation of apoptotic process, p:negative regulation of dna helicase activity, p:nucleotide-excision repair, p:positive regulation of smooth muscle cell proliferation, p:protein-containing complex assembly, p:regulation of cyclin-dependent protein serine/threonine kinase activity, p:regulation of g1/s transition of mitotic cell cycle, p:regulation of transcription by rna polymerase ii, p:response to calcium ion, p:transcription by rna polymerase ii, p:ventricular system development",RING,
48,Q8WY64,MYLIP,"cytoplasm, cell membrane","c:cytoskeleton, c:cytosol, c:plasma membrane, f:cytoskeletal protein binding, f:metal ion binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:cholesterol homeostasis, p:negative regulation of low-density lipoprotein particle clearance, p:negative regulation of neuron projection development, p:nervous system development, p:positive regulation of protein catabolic process, p:protein destabilization, p:protein ubiquitination, p:regulation of low-density lipoprotein particle receptor catabolic process, p:ubiquitin-dependent protein catabolic process",RING,
49,Q96PU5,NEDD4L,"cytoplasm, golgi apparatus, endosome, multivesicular body","c:cytoplasm, c:cytosol, c:extracellular exosome, c:golgi apparatus, c:multivesicular body, c:nucleoplasm, f:potassium channel inhibitor activity, f:potassium channel regulator activity, f:sodium channel inhibitor activity, f:sodium channel regulator activity, f:transmembrane transporter binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:cell differentiation, p:cellular sodium ion homeostasis, p:excretion, p:ion transmembrane transport, p:negative regulation of potassium ion transmembrane transport, p:negative regulation of potassium ion transmembrane transporter activity, p:negative regulation of protein localization to cell surface, p:negative regulation of sodium ion transmembrane transport, p:negative regulation of sodium ion transmembrane transporter activity, p:positive regulation of caveolin-mediated endocytosis, p:positive regulation of dendrite extension, p:positive regulation of endocytosis, p:positive regulation of protein catabolic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein k48-linked ubiquitination, p:protein polyubiquitination, p:protein ubiquitination, p:regulation of dendrite morphogenesis, p:regulation of ion transmembrane transport, p:regulation of membrane depolarization, p:regulation of membrane potential, p:regulation of membrane repolarization, p:regulation of potassium ion transmembrane transporter activity, p:regulation of protein catabolic process, p:regulation of protein stability, p:response to metal ion, p:sodium ion transport, p:ubiquitin-dependent protein catabolic process, p:ventricular cardiac muscle cell action potential, p:water homeostasis",HECTc,
50,O75592,MYCBP2,"nucleus, cell projection, axon, cytoplasm, cytoskeleton","c:axon, c:cytoplasm, c:intracellular membrane-bounded organelle, c:membrane, c:microtubule cytoskeleton, c:nucleoplasm, c:nucleus, f:guanyl-nucleotide exchange factor activity, f:identical protein binding, f:small gtpase binding, f:ubiquitin protein ligase activity, f:zinc ion binding, p:branchiomotor neuron axon guidance, p:central nervous system projection neuron axonogenesis, p:circadian regulation of gene expression, p:negative regulation of protein catabolic process, p:neuromuscular process, p:positive regulation of protein ubiquitination, p:protein ubiquitination, p:regulation of axon guidance, p:regulation of cytoskeleton organization, p:regulation of protein localization",RING,
51,O76050,NEURL1,"cytoplasm, perinuclear region, cell membrane, perikaryon, cell projection, dendrite, cell junction, synapse, postsynaptic density","c:apical dendrite, c:dendritic spine, c:perikaryon, c:perinuclear region of cytoplasm, c:plasma membrane, c:postsynaptic density, f:metal ion binding, f:translation factor activity, non-nucleic acid binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:brain development, p:cellular response to amino acid stimulus, p:lactation, p:negative regulation of cell population proliferation, p:negative regulation of notch signaling pathway, p:nervous system development, p:notch signaling pathway, p:positive regulation of apoptotic process, p:positive regulation of dendritic spine development, p:positive regulation of epidermal growth factor-activated receptor activity, p:positive regulation of filopodium assembly, p:positive regulation of long-term neuronal synaptic plasticity, p:positive regulation of synapse maturation, p:protein monoubiquitination, p:skeletal muscle tissue development, p:sperm axoneme assembly",RING,
52,Q6ZNB6,NFXL1,membrane,"c:chromatin, c:integral component of membrane, c:membrane, c:nucleus, f:dna-binding transcription factor activity, rna polymerase ii-specific, f:rna polymerase ii transcription regulatory region sequence-specific dna binding, f:zinc ion binding, p:regulation of transcription, dna-templated",RING,1.0
53,Q9Y314,NOSIP,"cytoplasm, nucleus","c:cytoplasm, c:cytosol, c:golgi membrane, c:nucleoplasm, c:nucleus, f:rna binding, f:ubiquitin protein ligase activity, p:negative regulation of catalytic activity, p:negative regulation of nitric-oxide synthase activity",UBOX,
54,Q6VVB1,NHLRC1,,"c:cytosol, c:endoplasmic reticulum, c:nucleus, c:perinuclear region of cytoplasm, f:metal ion binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:autophagy, p:glycogen biosynthetic process, p:positive regulation of protein ubiquitination, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein polyubiquitination, p:regulation of gene expression, p:regulation of protein kinase activity, p:regulation of protein localization to plasma membrane, p:response to endoplasmic reticulum stress",RING,
55,Q12986,NFX1,,"c:chromatin, c:cytosol, c:nucleolus, c:nucleoplasm, c:nucleus, c:plasma membrane, f:dna-binding transcription factor activity, rna polymerase ii-specific, f:dna-binding transcription repressor activity, rna polymerase ii-specific, f:rna binding, f:rna polymerase ii transcription regulatory region sequence-specific dna binding, f:ubiquitin protein ligase activity, f:zinc ion binding, p:inflammatory response, p:negative regulation of mhc class ii biosynthetic process, p:negative regulation of transcription by rna polymerase ii, p:protein autoubiquitination, p:protein ubiquitination, p:regulation of transcription, dna-templated, p:transcription by rna polymerase ii",RING,
56,P35227,PCGF2,nucleus,"c:chromatin, c:nuclear body, c:nucleoplasm, c:nucleus, c:pcg protein complex, c:prc1 complex, c:sex chromatin, f:dna binding, f:metal ion binding, f:promoter-specific chromatin binding, p:anterior/posterior pattern specification, p:cellular response to hydrogen peroxide, p:embryonic skeletal system morphogenesis, p:heterochromatin assembly, p:histone acetylation, p:histone h2a-k119 monoubiquitination, p:in utero embryonic development, p:negative regulation of apoptotic signaling pathway, p:negative regulation of transcription by rna polymerase ii",RING,
57,Q8WV22,NSMCE1,"nucleus, chromosome, telomere","c:chromosome, telomeric region, c:intracellular membrane-bounded organelle, c:nucleoplasm, c:nucleus, c:smc5-smc6 complex, f:metal ion binding, f:protein dimerization activity, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:double-strand break repair via homologous recombination, p:intracellular signal transduction, p:positive regulation of response to dna damage stimulus, p:postreplication repair",RING,
58,P46934,NEDD4,"cytoplasm, cell membrane","c:apicolateral plasma membrane, c:cell cortex, c:chromatin, c:cytoplasm, c:cytosol, c:dendritic spine, c:extracellular exosome, c:golgi apparatus, c:perinuclear region of cytoplasm, c:plasma membrane, c:protein-containing complex, c:ubiquitin ligase complex, f:beta-2 adrenergic receptor binding, f:enzyme binding, f:phosphoserine residue binding, f:phosphothreonine residue binding, f:proline-rich region binding, f:protein domain specific binding, f:rna polymerase binding, f:sodium channel inhibitor activity, f:ubiquitin binding, f:ubiquitin protein ligase activity, p:cellular response to uv, p:formation of structure involved in a symbiotic process, p:glucocorticoid receptor signaling pathway, p:lysosomal transport, p:negative regulation of sodium ion transmembrane transporter activity, p:negative regulation of sodium ion transport, p:negative regulation of transcription from rna polymerase ii promoter in response to uv-induced dna damage, p:negative regulation of vascular endothelial growth factor receptor signaling pathway, p:neuromuscular junction development, p:neuron projection development, p:positive regulation of nucleocytoplasmic transport, p:positive regulation of phosphatidylinositol 3-kinase signaling, p:positive regulation of protein catabolic process, p:progesterone receptor signaling pathway, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein k63-linked ubiquitination, p:protein polyubiquitination, p:protein targeting to lysosome, p:protein ubiquitination, p:receptor catabolic process, p:receptor internalization, p:regulation of dendrite morphogenesis, p:regulation of ion transmembrane transport, p:regulation of macroautophagy, p:regulation of membrane potential, p:regulation of potassium ion transmembrane transporter activity, p:regulation of synapse organization, p:response to calcium ion, p:ubiquitin-dependent protein catabolic process, p:ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway, p:viral budding",HECTc,
59,Q9UPQ7,PDZRN3,"cell junction, synapse, cytoplasm","c:cytoplasm, c:neuromuscular junction, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:neuromuscular junction development, p:protein ubiquitination",RING,
60,O60683,PEX10,peroxisome membrane,"c:integral component of peroxisomal membrane, c:peroxisomal membrane, c:peroxisome, f:metal ion binding, f:protein c-terminus binding, f:zinc ion binding, p:peroxisome organization, p:protein import into peroxisome matrix",RING,
61,O60260,PRKN,"cytoplasm, cytosol, nucleus, endoplasmic reticulum, mitochondrion, mitochondrion outer membrane, cell projection, neuron projection, cell junction, synapse, postsynaptic density, cell junction, synapse, presynapse","c:aggresome, c:cytoplasm, c:cytosol, c:endoplasmic reticulum, c:golgi apparatus, c:lewy body, c:mitochondrial outer membrane, c:mitochondrion, c:neuron projection, c:nuclear speck, c:nucleus, c:parkin-fbxw7-cul1 ubiquitin ligase complex, c:perinuclear region of cytoplasm, c:postsynaptic density, c:presynapse, c:ubiquitin ligase complex, f:actin binding, f:beta-catenin binding, f:chaperone binding, f:cullin family protein binding, f:enzyme binding, f:f-box domain binding, f:g protein-coupled receptor binding, f:heat shock protein binding, f:histone deacetylase binding, f:hsp70 protein binding, f:identical protein binding, f:kinase binding, f:pdz domain binding, f:phospholipase binding, f:protein kinase binding, f:protein-containing complex binding, f:sh3 domain binding, f:transcription corepressor activity, f:tubulin binding, f:ubiquitin binding, f:ubiquitin conjugating enzyme binding, f:ubiquitin protein ligase activity, f:ubiquitin protein ligase binding, f:ubiquitin-protein transferase activity, f:ubiquitin-specific protease binding, f:zinc ion binding, p:adult locomotory behavior, p:aggresome assembly, p:amyloid fibril formation, p:autophagy of mitochondrion, p:cellular protein catabolic process, p:cellular response to dopamine, p:cellular response to manganese ion, p:cellular response to toxic substance, p:cellular response to unfolded protein, p:central nervous system development, p:dopamine metabolic process, p:dopamine uptake involved in synaptic transmission, p:erad pathway, p:free ubiquitin chain polymerization, p:learning, p:macroautophagy, p:mitochondrial fission, p:mitochondrion organization, p:mitochondrion to lysosome transport, p:mitophagy, p:negative regulation by host of viral genome replication, p:negative regulation of actin filament bundle assembly, p:negative regulation of canonical wnt signaling pathway, p:negative regulation of cell death, p:negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway, p:negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway, p:negative regulation of exosomal secretion, p:negative regulation of gene expression, p:negative regulation of glucokinase activity, p:negative regulation of insulin secretion, p:negative regulation of intralumenal vesicle formation, p:negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator, p:negative regulation of jnk cascade, p:negative regulation of mitochondrial fusion, p:negative regulation of neuron apoptotic process, p:negative regulation of neuron death, p:negative regulation of oxidative stress-induced cell death, p:negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway, p:negative regulation of primary amine oxidase activity, p:negative regulation of protein phosphorylation, p:negative regulation of reactive oxygen species metabolic process, p:negative regulation of release of cytochrome c from mitochondria, p:negative regulation of spontaneous neurotransmitter secretion, p:negative regulation of transcription by rna polymerase ii, p:neuron cellular homeostasis, p:norepinephrine metabolic process, p:parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization, p:positive regulation of autophagy of mitochondrion, p:positive regulation of dendrite extension, p:positive regulation of dna binding, p:positive regulation of gene expression, p:positive regulation of i-kappab kinase/nf-kappab signaling, p:positive regulation of mitochondrial fission, p:positive regulation of mitochondrial fusion, p:positive regulation of mitophagy in response to mitochondrial depolarization, p:positive regulation of neurotransmitter uptake, p:positive regulation of proteasomal protein catabolic process, p:positive regulation of proteasomal ubiquitin-dependent protein catabolic process, p:positive regulation of protein binding, p:positive regulation of protein catabolic process, p:positive regulation of protein linear polyubiquitination, p:positive regulation of protein localization to membrane, p:positive regulation of retrograde transport, endosome to golgi, p:positive regulation of transcription by rna polymerase ii, p:positive regulation of tumor necrosis factor-mediated signaling pathway, p:proteasomal protein catabolic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein autoubiquitination, p:protein destabilization, p:protein deubiquitination, p:protein k11-linked ubiquitination, p:protein k27-linked ubiquitination, p:protein k29-linked ubiquitination, p:protein k48-linked ubiquitination, p:protein k6-linked ubiquitination, p:protein k63-linked ubiquitination, p:protein localization to mitochondrion, p:protein monoubiquitination, p:protein polyubiquitination, p:protein stabilization, p:protein ubiquitination, p:regulation of apoptotic process, p:regulation of autophagy, p:regulation of canonical wnt signaling pathway, p:regulation of cellular response to oxidative stress, p:regulation of dopamine metabolic process, p:regulation of dopamine secretion, p:regulation of glucose metabolic process, p:regulation of lipid transport, p:regulation of mitochondrial membrane potential, p:regulation of mitochondrion organization, p:regulation of protein stability, p:regulation of protein targeting to mitochondrion, p:regulation of protein ubiquitination, p:regulation of reactive oxygen species metabolic process, p:regulation of synaptic vesicle transport, p:response to endoplasmic reticulum stress, p:response to oxidative stress, p:startle response, p:synaptic transmission, glutamatergic, p:ubiquitin-dependent protein catabolic process, p:zinc ion homeostasis",RING,
62,P28328,PEX2,,"c:cdc73/paf1 complex, c:cytosol, c:integral component of peroxisomal membrane, c:membrane, c:peroxisomal membrane, f:metal ion binding, p:fatty acid beta-oxidation, p:negative regulation of epithelial cell proliferation, p:negative regulation of fibroblast proliferation, p:negative regulation of transcription by rna polymerase ii, p:peroxisome organization, p:protein destabilization, p:protein import into peroxisome matrix, p:very long-chain fatty acid metabolic process",RING,2.0
63,Q9BWX1,PHF7,nucleus,"c:cytosol, c:golgi apparatus, c:nuclear speck, c:nucleoplasm, c:nucleus, c:plasma membrane, f:metal ion binding",RING,
64,Q9P1Y6,PHRF1,,"c:membrane, f:metal ion binding, f:protein domain specific binding, f:rna polymerase binding, p:mrna processing, p:transcription by rna polymerase ii",RING,
65,O43164,PJA2,"cytoplasm, cell membrane, endoplasmic reticulum membrane, golgi apparatus membrane, cell junction, synapse, cell junction, synapse, postsynaptic density","c:cytoplasm, c:endoplasmic reticulum membrane, c:golgi membrane, c:intermediate filament cytoskeleton, c:plasma membrane, c:postsynaptic density, f:metal ion binding, f:protein kinase a catalytic subunit binding, f:protein kinase a regulatory subunit binding, f:ubiquitin-protein transferase activity, p:hippo signaling, p:inflammatory response, p:innate immune response, p:long-term memory, p:positive regulation of jnk cascade, p:positive regulation of p38mapk cascade, p:positive regulation of toll-like receptor 2 signaling pathway, p:protein ubiquitination, p:regulation of macrophage activation, p:regulation of protein kinase a signaling",RING,
66,Q13356,PPIL2,nucleus,"c:cytoplasm, c:golgi lumen, c:nucleoplasm, c:nucleus, c:plasma membrane, f:ubiquitin protein ligase activity, f:ubiquitin-ubiquitin ligase activity, p:protein folding, p:protein localization to plasma membrane, p:protein peptidyl-prolyl isomerization, p:protein polyubiquitination",UBOX,
67,O00623,PEX12,peroxisome membrane,"c:cytosol, c:integral component of peroxisomal membrane, c:peroxisomal importomer complex, c:peroxisomal membrane, c:peroxisome, f:protein c-terminus binding, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:peroxisome organization, p:protein import into peroxisome matrix, p:protein monoubiquitination, p:protein targeting to peroxisome",RING,2.0
68,Q9UMS4,PRPF19,"nucleus, nucleus, nucleoplasm, cytoplasm, cytoskeleton, spindle, cytoplasm, lipid droplet","c:catalytic step 2 spliceosome, c:cytoplasm, c:lipid droplet, c:membrane, c:nuclear speck, c:nucleoplasm, c:nucleus, c:prp19 complex, c:site of double-strand break, c:spindle, c:spliceosomal complex, c:u2-type catalytic step 1 spliceosome, c:u2-type catalytic step 2 spliceosome, f:identical protein binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:ubiquitin-ubiquitin ligase activity, p:cellular protein localization, p:dna damage checkpoint signaling, p:double-strand break repair via nonhomologous end joining, p:lipid biosynthetic process, p:mrna splicing, via spliceosome, p:positive regulation of astrocyte differentiation, p:positive regulation of mrna splicing, via spliceosome, p:positive regulation of neuron differentiation, p:proteasomal protein catabolic process, p:protein k63-linked ubiquitination, p:protein polyubiquitination, p:spliceosomal complex assembly, p:spliceosomal tri-snrnp complex assembly",UBOX,
69,Q9UM63,PLAGL1,nucleus,"c:golgi apparatus, c:intracellular membrane-bounded organelle, c:nuclear body, c:nucleoplasm, f:dna binding, f:dna-binding transcription activator activity, rna polymerase ii-specific, f:dna-binding transcription repressor activity, rna polymerase ii-specific, f:metal ion binding, f:rna polymerase ii cis-regulatory region sequence-specific dna binding, f:rna polymerase ii transcription regulatory region sequence-specific dna binding, p:apoptotic process, p:positive regulation of transcription by rna polymerase ii, p:regulation of cell cycle, p:regulation of transcription by rna polymerase ii",RING,
70,Q13702,RAPSN,,"c:centrosome, c:cytosol, c:golgi apparatus, c:neuromuscular junction, c:plasma membrane, c:postsynaptic specialization membrane, f:acetylcholine receptor binding, f:ionotropic glutamate receptor binding, f:metal ion binding, f:protein-membrane adaptor activity, p:chemical synaptic transmission, p:establishment of protein localization to postsynaptic membrane, p:positive regulation of neuromuscular synaptic transmission, p:positive regulation of neuron apoptotic process, p:regulation of postsynaptic membrane organization, p:synaptic transmission, cholinergic",RING,
71,P29590,PML,"cytoplasm, nucleus, pml body, endoplasmic reticulum membrane","c:chromatin, c:chromosome, telomeric region, c:cytoplasm, c:cytosol, c:early endosome membrane, c:extrinsic component of endoplasmic reticulum membrane, c:heterochromatin, c:nuclear matrix, c:nuclear membrane, c:nucleolus, c:nucleoplasm, c:nucleus, c:pml body, f:cobalt ion binding, f:dna binding, f:identical protein binding, f:protein heterodimerization activity, f:protein homodimerization activity, f:smad binding, f:sumo binding, f:sumo transferase activity, f:sumo-dependent protein binding, f:transcription coactivator activity, f:ubiquitin protein ligase binding, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:activation of cysteine-type endopeptidase activity involved in apoptotic process, p:apoptotic process, p:branching involved in mammary gland duct morphogenesis, p:cell fate commitment, p:cellular response to interleukin-4, p:cellular response to leukemia inhibitory factor, p:cellular senescence, p:circadian regulation of gene expression, p:common-partner smad protein phosphorylation, p:dna damage response, signal transduction by p53 class mediator resulting in cell cycle arrest, p:endoplasmic reticulum calcium ion homeostasis, p:entrainment of circadian clock by photoperiod, p:extrinsic apoptotic signaling pathway, p:fibroblast migration, p:innate immune response, p:intrinsic apoptotic signaling pathway in response to dna damage, p:intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator, p:intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress, p:intrinsic apoptotic signaling pathway in response to oxidative stress, p:maintenance of protein location in nucleus, p:myeloid cell differentiation, p:negative regulation of angiogenesis, p:negative regulation of cell growth, p:negative regulation of cell population proliferation, p:negative regulation of interleukin-1 beta production, p:negative regulation of mitotic cell cycle, p:negative regulation of telomerase activity, p:negative regulation of telomere maintenance via telomerase, p:negative regulation of transcription, dna-templated, p:negative regulation of translation in response to oxidative stress, p:negative regulation of ubiquitin-dependent protein catabolic process, p:oncogene-induced cell senescence, p:pml body organization, p:positive regulation of apoptotic process involved in mammary gland involution, p:positive regulation of defense response to virus by host, p:positive regulation of extrinsic apoptotic signaling pathway, p:positive regulation of fibroblast proliferation, p:positive regulation of histone deacetylation, p:positive regulation of peptidyl-lysine acetylation, p:positive regulation of protein localization to chromosome, telomeric region, p:positive regulation of signal transduction by p53 class mediator, p:positive regulation of telomere maintenance, p:positive regulation of transcription, dna-templated, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein import into nucleus, p:protein stabilization, p:protein targeting, p:protein-containing complex assembly, p:regulation of calcium ion transport into cytosol, p:regulation of cell adhesion, p:regulation of cell cycle, p:regulation of circadian rhythm, p:regulation of double-strand break repair, p:regulation of protein phosphorylation, p:regulation of transcription, dna-templated, p:response to cytokine, p:response to gamma radiation, p:response to hypoxia, p:response to uv, p:retinoic acid receptor signaling pathway, p:suppression of viral release by host, p:transforming growth factor beta receptor signaling pathway",RING,
72,Q7Z6E9,RBBP6,,"c:chromosome, c:cytosol, c:microtubule organizing center, c:nuclear speck, c:nucleolus, c:nucleus, c:protein-containing complex, f:protein kinase binding, f:rna binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:cellular response to dna damage stimulus, p:dna replication, p:embryonic organ development, p:in utero embryonic development, p:mrna processing, p:multicellular organism growth, p:protein ubiquitination, p:regulation of dna replication, p:somite development, p:ubiquitin-dependent protein catabolic process",RING,
73,Q5TC82,RC3H1,"cytoplasm, p-body, cytoplasmic granule","c:cytoplasmic stress granule, c:p-body, f:ccr4-not complex binding, f:double-stranded rna binding, f:mirna binding, f:mrna 3'-utr binding, f:mrna binding, f:rna binding, f:rna stem-loop binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:3'-utr-mediated mrna destabilization, p:b cell homeostasis, p:cellular response to interleukin-1, p:lymph node development, p:negative regulation of activated t cell proliferation, p:negative regulation of b cell proliferation, p:negative regulation of germinal center formation, p:negative regulation of t-helper 17 cell differentiation, p:negative regulation of t-helper cell differentiation, p:nuclear-transcribed mrna catabolic process, p:nuclear-transcribed mrna catabolic process, deadenylation-dependent decay, p:p-body assembly, p:positive regulation of mrna catabolic process, p:positive regulation of nik/nf-kappab signaling, p:posttranscriptional regulation of gene expression, p:protein polyubiquitination, p:regulation of germinal center formation, p:regulation of mirna metabolic process, p:regulation of mrna stability, p:regulation of nuclear-transcribed mrna catabolic process, deadenylation-dependent decay, p:regulation of t cell receptor signaling pathway, p:spleen development, p:t cell homeostasis, p:t cell proliferation, p:t cell receptor signaling pathway, p:t follicular helper cell differentiation, p:ubiquitin-dependent protein catabolic process",RING,
74,Q969V5,MUL1,"mitochondrion outer membrane, peroxisome","c:axon, c:integral component of mitochondrial outer membrane, c:membrane, c:mitochondrion, c:neuronal cell body, c:peroxisome, f:identical protein binding, f:metal ion binding, f:p53 binding, f:sumo transferase activity, f:ubiquitin protein ligase activity, f:ubiquitin protein ligase binding, f:ubiquitin-protein transferase activity, p:activation of cysteine-type endopeptidase activity involved in apoptotic process, p:apoptotic process, p:cellular response to exogenous dsrna, p:mitochondrial fission, p:mitochondrion localization, p:negative regulation of cell growth, p:negative regulation of chemokine (c-c motif) ligand 5 production, p:negative regulation of defense response to virus by host, p:negative regulation of innate immune response, p:negative regulation of mitochondrial fusion, p:negative regulation of protein kinase b signaling, p:negative regulation of type i interferon-mediated signaling pathway, p:positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization, p:positive regulation of dendrite extension, p:positive regulation of i-kappab kinase/nf-kappab signaling, p:positive regulation of mitochondrial fission, p:positive regulation of protein sumoylation, p:protein destabilization, p:protein polyubiquitination, p:protein stabilization, p:protein ubiquitination, p:regulation of mitochondrial membrane potential, p:regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway, p:regulation of mitochondrion organization",RING,2.0
75,Q8WZ73,RFFL,recycling endosome membrane,"c:cytoplasm, c:cytosol, c:endosome membrane, c:membrane, c:nucleoplasm, c:plasma membrane, c:recycling endosome membrane, f:metal ion binding, f:p53 binding, f:protease binding, f:protein kinase binding, f:ubiquitin protein ligase activity, f:ubiquitin protein ligase binding, p:apoptotic process, p:negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis, p:negative regulation of extrinsic apoptotic signaling pathway via death domain receptors, p:negative regulation of signal transduction by p53 class mediator, p:negative regulation of tumor necrosis factor-mediated signaling pathway, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein k48-linked ubiquitination, p:regulation of fibroblast migration, p:regulation of signal transduction by p53 class mediator, p:regulation of tor signaling, p:ubiquitin-dependent protein catabolic process",RING,
76,P15918,RAG1,nucleus,"c:dna recombinase complex, c:endodeoxyribonuclease complex, c:nucleoplasm, c:nucleus, f:dna binding, f:endonuclease activity, f:histone binding, f:metal ion binding, f:protein homodimerization activity, f:sequence-specific dna binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:adaptive immune response, p:b cell differentiation, p:chromatin organization, p:dna recombination, p:histone monoubiquitination, p:immune response, p:negative regulation of cysteine-type endopeptidase activity involved in apoptotic process, p:negative regulation of thymocyte apoptotic process, p:positive regulation of t cell differentiation, p:pre-b cell allelic exclusion, p:protein autoubiquitination, p:regulation of behavioral fear response, p:t cell differentiation in thymus, p:t cell homeostasis, p:thymus development, p:v(d)j recombination, p:visual learning",RING,
77,Q96PM5,RCHY1,,"c:cytoplasm, c:cytosol, c:intracellular membrane-bounded organelle, c:nuclear speck, c:nucleoplasm, c:nucleus, c:ubiquitin ligase complex, f:p53 binding, f:protein homodimerization activity, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:error-free translesion synthesis, p:positive regulation of proteasomal ubiquitin-dependent protein catabolic process, p:positive regulation of protein ubiquitination, p:protein autoubiquitination, p:protein ubiquitination, p:ubiquitin-dependent protein catabolic process",RING,
78,Q9HBD1,RC3H2,"cytoplasm, p-body","c:cell surface, c:cytoplasmic stress granule, c:intracellular membrane-bounded organelle, c:membrane, c:p-body, f:dna binding, f:double-stranded rna binding, f:metal ion binding, f:mrna binding, f:rna binding, f:rna stem-loop binding, f:ubiquitin protein ligase activity, p:b cell homeostasis, p:limb development, p:lung alveolus development, p:lymph node development, p:multicellular organism growth, p:negative regulation of t-helper 17 cell differentiation, p:nuclear-transcribed mrna catabolic process, deadenylation-dependent decay, p:positive regulation of nik/nf-kappab signaling, p:post-embryonic development, p:protein polyubiquitination, p:regulation of mirna metabolic process, p:spleen development, p:t cell homeostasis, p:t cell proliferation, p:t cell receptor signaling pathway, p:t follicular helper cell differentiation, p:ubiquitin-dependent protein catabolic process",RING,
